dialogue,emotion,hidden_meaning,threat_level,clean_dialogue
phone pe hi future depend karega kya beta,warning,phone control karo,medium,phone pe hi future depend karega kya beta
khaana ko thoda control karo abhi,disappointment,better karo,medium,khaana ko thoda control karo abhi
khaana ko thoda control karo beta,disappointment,better karo,low,khaana ko thoda control karo beta
Pura din room hi chalega kya na,emotional_blackmail,mujhe ignore mat karo,high,pura din room hi chalega kya na
padhai ko side mein rakho thodi der please,care,padhai ke saath balance rakho,low,padhai ko side mein rakho thodi der please
Aaj bhi bike ka hi scene hai seriously,passive_aggressive,main upset hoon,low,aaj bhi bike ka hi scene hai seriously
Mujhe WiFi ka update nahi chahiye yaar,disappointment,better karo,low,mujhe wifi ka update nahi chahiye yaar
Pura din friends hi chalega kya yaar,disappointment,better karo,low,pura din friends hi chalega kya yaar
WiFi se bahar bhi duniya hai beta,sarcasm,tum WiFi zyada use kar rahe ho,low,wifi se bahar bhi duniya hai beta
WiFi ko side mein rakho thodi der abhi,emotional_blackmail,mujhe ignore mat karo,medium,wifi ko side mein rakho thodi der abhi
kitchen ko side mein rakho thodi der beta,sarcasm,tum kitchen zyada use kar rahe ho,low,kitchen ko side mein rakho thodi der beta
Mujhe laptop ka update nahi chahiye please,passive_aggressive,main upset hoon,medium,mujhe laptop ka update nahi chahiye please
TV se bahar bhi duniya hai please,love,main tumhari care karti hoon,low,tv se bahar bhi duniya hai please
charger ko thoda control karo please,sarcasm,tum charger zyada use kar rahe ho,low,charger ko thoda control karo please
attendance ko thoda control karo please,disappointment,better karo,medium,attendance ko thoda control karo please
Pura din bike hi chalega kya seriously,emotional_blackmail,mujhe ignore mat karo,medium,pura din bike hi chalega kya seriously
Pura din khaana hi chalega kya please,passive_aggressive,main upset hoon,medium,pura din khaana hi chalega kya please
Aaj bhi laptop ka hi scene hai seriously,care,laptop ke saath balance rakho,low,aaj bhi laptop ka hi scene hai seriously
Aaj bhi tiffin ka hi scene hai beta,warning,tiffin control karo,high,aaj bhi tiffin ka hi scene hai beta
Pura din friends hi chalega kya,disappointment,better karo,medium,pura din friends hi chalega kya
Pura din tiffin hi chalega kya,warning,tiffin control karo,high,pura din tiffin hi chalega kya
Pura din sleep hi chalega kya na,sarcasm,tum sleep zyada use kar rahe ho,low,pura din sleep hi chalega kya na
Aaj bhi padhai ka hi scene hai yaar,passive_aggressive,main upset hoon,low,aaj bhi padhai ka hi scene hai yaar
Mujhe friends ka update nahi chahiye please,care,friends ke saath balance rakho,low,mujhe friends ka update nahi chahiye please
Bas room mein hi busy rehna beta,warning,room control karo,medium,bas room mein hi busy rehna beta
room pe hi future depend karega kya please,emotional_blackmail,mujhe ignore mat karo,medium,room pe hi future depend karega kya please
Bas bike mein hi busy rehna yaar,emotional_blackmail,mujhe ignore mat karo,high,bas bike mein hi busy rehna yaar
sleep se bahar bhi duniya hai please,warning,sleep control karo,medium,sleep se bahar bhi duniya hai please
phone ko thoda control karo abhi,care,phone ke saath balance rakho,low,phone ko thoda control karo abhi
bike ko side mein rakho thodi der yaar,passive_aggressive,main upset hoon,low,bike ko side mein rakho thodi der yaar
tiffin ko side mein rakho thodi der na,sarcasm,tum tiffin zyada use kar rahe ho,low,tiffin ko side mein rakho thodi der na
reels se bahar bhi duniya hai seriously,passive_aggressive,main upset hoon,low,reels se bahar bhi duniya hai seriously
kitchen se bahar bhi duniya hai seriously,warning,kitchen control karo,medium,kitchen se bahar bhi duniya hai seriously
Pura din phone hi chalega kya yaar,warning,phone control karo,high,pura din phone hi chalega kya yaar
Pura din room hi chalega kya seriously,warning,room control karo,high,pura din room hi chalega kya seriously
Aaj bhi reels ka hi scene hai yaar,emotional_blackmail,mujhe ignore mat karo,medium,aaj bhi reels ka hi scene hai yaar
Aaj bhi laptop ka hi scene hai,warning,laptop control karo,high,aaj bhi laptop ka hi scene hai
charger se bahar bhi duniya hai beta,emotional_blackmail,mujhe ignore mat karo,high,charger se bahar bhi duniya hai beta
Bas college mein hi busy rehna please,care,college ke saath balance rakho,low,bas college mein hi busy rehna please
phone se bahar bhi duniya hai,warning,phone control karo,high,phone se bahar bhi duniya hai
Bas sleep mein hi busy rehna na,disappointment,better karo,low,bas sleep mein hi busy rehna na
Aaj bhi padhai ka hi scene hai seriously,care,padhai ke saath balance rakho,low,aaj bhi padhai ka hi scene hai seriously
Mujhe WiFi ka update nahi chahiye na,sarcasm,tum WiFi zyada use kar rahe ho,low,mujhe wifi ka update nahi chahiye na
kitchen ko thoda control karo please,care,kitchen ke saath balance rakho,low,kitchen ko thoda control karo please
Pura din reels hi chalega kya abhi,emotional_blackmail,mujhe ignore mat karo,medium,pura din reels hi chalega kya abhi
friends ko side mein rakho thodi der beta,love,main tumhari care karti hoon,low,friends ko side mein rakho thodi der beta
WiFi ko thoda control karo abhi,emotional_blackmail,mujhe ignore mat karo,high,wifi ko thoda control karo abhi
bike ko thoda control karo,warning,bike control karo,medium,bike ko thoda control karo
room pe hi future depend karega kya abhi,care,room ke saath balance rakho,low,room pe hi future depend karega kya abhi
Mujhe khaana ka update nahi chahiye na,anger,khaana ki wajah se gussa hai,rip,mujhe khaana ka update nahi chahiye na
Bas phone mein hi busy rehna yaar,care,phone ke saath balance rakho,low,bas phone mein hi busy rehna yaar
phone ko side mein rakho thodi der abhi,emotional_blackmail,mujhe ignore mat karo,medium,phone ko side mein rakho thodi der abhi
Pura din bike hi chalega kya abhi,sarcasm,tum bike zyada use kar rahe ho,low,pura din bike hi chalega kya abhi
Pura din sleep hi chalega kya beta,disappointment,better karo,medium,pura din sleep hi chalega kya beta
reels ko side mein rakho thodi der seriously,passive_aggressive,main upset hoon,medium,reels ko side mein rakho thodi der seriously
padhai ko side mein rakho thodi der abhi,love,main tumhari care karti hoon,low,padhai ko side mein rakho thodi der abhi
Bas room mein hi busy rehna na,emotional_blackmail,mujhe ignore mat karo,medium,bas room mein hi busy rehna na
Aaj bhi friends ka hi scene hai na,warning,friends control karo,high,aaj bhi friends ka hi scene hai na
phone ko side mein rakho thodi der yaar,warning,phone control karo,medium,phone ko side mein rakho thodi der yaar
Bas khaana mein hi busy rehna please,emotional_blackmail,mujhe ignore mat karo,high,bas khaana mein hi busy rehna please
attendance ko side mein rakho thodi der seriously,emotional_blackmail,mujhe ignore mat karo,high,attendance ko side mein rakho thodi der seriously
Bas shopping mein hi busy rehna please,sarcasm,tum shopping zyada use kar rahe ho,low,bas shopping mein hi busy rehna please
gaming ko thoda control karo please,sarcasm,tum gaming zyada use kar rahe ho,low,gaming ko thoda control karo please
padhai ko side mein rakho thodi der yaar,disappointment,better karo,medium,padhai ko side mein rakho thodi der yaar
Pura din TV hi chalega kya beta,passive_aggressive,main upset hoon,low,pura din tv hi chalega kya beta
charger pe hi future depend karega kya,emotional_blackmail,mujhe ignore mat karo,high,charger pe hi future depend karega kya
reels ko side mein rakho thodi der yaar,anger,reels ki wajah se gussa hai,rip,reels ko side mein rakho thodi der yaar
laptop ko thoda control karo yaar,care,laptop ke saath balance rakho,low,laptop ko thoda control karo yaar
Aaj bhi kitchen ka hi scene hai yaar,disappointment,better karo,low,aaj bhi kitchen ka hi scene hai yaar
phone se bahar bhi duniya hai seriously,anger,phone ki wajah se gussa hai,rip,phone se bahar bhi duniya hai seriously
Bas khaana mein hi busy rehna abhi,love,main tumhari care karti hoon,low,bas khaana mein hi busy rehna abhi
Aaj bhi college ka hi scene hai please,care,college ke saath balance rakho,low,aaj bhi college ka hi scene hai please
Mujhe kitchen ka update nahi chahiye seriously,sarcasm,tum kitchen zyada use kar rahe ho,low,mujhe kitchen ka update nahi chahiye seriously
Mujhe charger ka update nahi chahiye seriously,sarcasm,tum charger zyada use kar rahe ho,low,mujhe charger ka update nahi chahiye seriously
Aaj bhi room ka hi scene hai,emotional_blackmail,mujhe ignore mat karo,medium,aaj bhi room ka hi scene hai
Bas WiFi mein hi busy rehna yaar,emotional_blackmail,mujhe ignore mat karo,high,bas wifi mein hi busy rehna yaar
TV se bahar bhi duniya hai,anger,TV ki wajah se gussa hai,rip,tv se bahar bhi duniya hai
Bas shopping mein hi busy rehna abhi,love,main tumhari care karti hoon,low,bas shopping mein hi busy rehna abhi
Mujhe room ka update nahi chahiye yaar,sarcasm,tum room zyada use kar rahe ho,low,mujhe room ka update nahi chahiye yaar
college ko side mein rakho thodi der na,warning,college control karo,medium,college ko side mein rakho thodi der na
laptop ko side mein rakho thodi der please,warning,laptop control karo,high,laptop ko side mein rakho thodi der please
Aaj bhi college ka hi scene hai yaar,emotional_blackmail,mujhe ignore mat karo,high,aaj bhi college ka hi scene hai yaar
college ko side mein rakho thodi der,passive_aggressive,main upset hoon,medium,college ko side mein rakho thodi der
Pura din laptop hi chalega kya na,warning,laptop control karo,medium,pura din laptop hi chalega kya na
tiffin pe hi future depend karega kya beta,disappointment,better karo,low,tiffin pe hi future depend karega kya beta
laptop se bahar bhi duniya hai na,sarcasm,tum laptop zyada use kar rahe ho,low,laptop se bahar bhi duniya hai na
Bas friends mein hi busy rehna please,sarcasm,tum friends zyada use kar rahe ho,low,bas friends mein hi busy rehna please
TV ko thoda control karo yaar,emotional_blackmail,mujhe ignore mat karo,high,tv ko thoda control karo yaar
friends ko thoda control karo please,emotional_blackmail,mujhe ignore mat karo,high,friends ko thoda control karo please
Bas WiFi mein hi busy rehna please,anger,WiFi ki wajah se gussa hai,high,bas wifi mein hi busy rehna please
phone pe hi future depend karega kya yaar,emotional_blackmail,mujhe ignore mat karo,medium,phone pe hi future depend karega kya yaar
gaming ko thoda control karo yaar,disappointment,better karo,low,gaming ko thoda control karo yaar
Bas attendance mein hi busy rehna beta,disappointment,better karo,low,bas attendance mein hi busy rehna beta
Pura din WiFi hi chalega kya,warning,WiFi control karo,high,pura din wifi hi chalega kya
college pe hi future depend karega kya abhi,care,college ke saath balance rakho,low,college pe hi future depend karega kya abhi
Mujhe bike ka update nahi chahiye,emotional_blackmail,mujhe ignore mat karo,medium,mujhe bike ka update nahi chahiye
Bas college mein hi busy rehna yaar,sarcasm,tum college zyada use kar rahe ho,low,bas college mein hi busy rehna yaar
reels ko thoda control karo na,emotional_blackmail,mujhe ignore mat karo,medium,reels ko thoda control karo na
Aaj bhi attendance ka hi scene hai abhi,emotional_blackmail,mujhe ignore mat karo,high,aaj bhi attendance ka hi scene hai abhi
Bas gaming mein hi busy rehna,passive_aggressive,main upset hoon,low,bas gaming mein hi busy rehna
college ko thoda control karo,love,main tumhari care karti hoon,low,college ko thoda control karo
Mujhe gaming ka update nahi chahiye please,passive_aggressive,main upset hoon,low,mujhe gaming ka update nahi chahiye please
tiffin se bahar bhi duniya hai yaar,passive_aggressive,main upset hoon,low,tiffin se bahar bhi duniya hai yaar
TV ko thoda control karo seriously,love,main tumhari care karti hoon,low,tv ko thoda control karo seriously
Pura din bike hi chalega kya yaar,emotional_blackmail,mujhe ignore mat karo,medium,pura din bike hi chalega kya yaar
Aaj bhi sleep ka hi scene hai na,passive_aggressive,main upset hoon,low,aaj bhi sleep ka hi scene hai na
Bas laptop mein hi busy rehna yaar,disappointment,better karo,medium,bas laptop mein hi busy rehna yaar
phone pe hi future depend karega kya,passive_aggressive,main upset hoon,medium,phone pe hi future depend karega kya
Mujhe laptop ka update nahi chahiye yaar,care,laptop ke saath balance rakho,low,mujhe laptop ka update nahi chahiye yaar
charger se bahar bhi duniya hai yaar,love,main tumhari care karti hoon,low,charger se bahar bhi duniya hai yaar
khaana ko thoda control karo please,warning,khaana control karo,medium,khaana ko thoda control karo please
Mujhe charger ka update nahi chahiye,sarcasm,tum charger zyada use kar rahe ho,low,mujhe charger ka update nahi chahiye
padhai ko thoda control karo abhi,love,main tumhari care karti hoon,low,padhai ko thoda control karo abhi
charger ko side mein rakho thodi der abhi,anger,charger ki wajah se gussa hai,high,charger ko side mein rakho thodi der abhi
Mujhe reels ka update nahi chahiye,love,main tumhari care karti hoon,low,mujhe reels ka update nahi chahiye
room ko side mein rakho thodi der,love,main tumhari care karti hoon,low,room ko side mein rakho thodi der
Bas sleep mein hi busy rehna abhi,care,sleep ke saath balance rakho,low,bas sleep mein hi busy rehna abhi
friends se bahar bhi duniya hai please,sarcasm,tum friends zyada use kar rahe ho,low,friends se bahar bhi duniya hai please
Aaj bhi room ka hi scene hai please,anger,room ki wajah se gussa hai,rip,aaj bhi room ka hi scene hai please
Pura din phone hi chalega kya seriously,emotional_blackmail,mujhe ignore mat karo,medium,pura din phone hi chalega kya seriously
khaana ko side mein rakho thodi der seriously,passive_aggressive,main upset hoon,medium,khaana ko side mein rakho thodi der seriously
Mujhe sleep ka update nahi chahiye seriously,love,main tumhari care karti hoon,low,mujhe sleep ka update nahi chahiye seriously
Bas WiFi mein hi busy rehna seriously,emotional_blackmail,mujhe ignore mat karo,high,bas wifi mein hi busy rehna seriously
attendance se bahar bhi duniya hai na,anger,attendance ki wajah se gussa hai,high,attendance se bahar bhi duniya hai na
kitchen pe hi future depend karega kya yaar,passive_aggressive,main upset hoon,low,kitchen pe hi future depend karega kya yaar
room ko side mein rakho thodi der na,sarcasm,tum room zyada use kar rahe ho,low,room ko side mein rakho thodi der na
Mujhe laptop ka update nahi chahiye,anger,laptop ki wajah se gussa hai,high,mujhe laptop ka update nahi chahiye
Bas padhai mein hi busy rehna yaar,emotional_blackmail,mujhe ignore mat karo,medium,bas padhai mein hi busy rehna yaar
attendance pe hi future depend karega kya beta,disappointment,better karo,low,attendance pe hi future depend karega kya beta
Bas attendance mein hi busy rehna abhi,love,main tumhari care karti hoon,low,bas attendance mein hi busy rehna abhi
Aaj bhi charger ka hi scene hai beta,emotional_blackmail,mujhe ignore mat karo,high,aaj bhi charger ka hi scene hai beta
reels pe hi future depend karega kya beta,disappointment,better karo,low,reels pe hi future depend karega kya beta
Bas college mein hi busy rehna,warning,college control karo,high,bas college mein hi busy rehna
khaana ko side mein rakho thodi der,passive_aggressive,main upset hoon,low,khaana ko side mein rakho thodi der
Bas gaming mein hi busy rehna seriously,care,gaming ke saath balance rakho,low,bas gaming mein hi busy rehna seriously
charger ko thoda control karo beta,disappointment,better karo,medium,charger ko thoda control karo beta
padhai se bahar bhi duniya hai yaar,passive_aggressive,main upset hoon,low,padhai se bahar bhi duniya hai yaar
Pura din phone hi chalega kya beta,emotional_blackmail,mujhe ignore mat karo,high,pura din phone hi chalega kya beta
Aaj bhi TV ka hi scene hai,care,TV ke saath balance rakho,low,aaj bhi tv ka hi scene hai
phone se bahar bhi duniya hai abhi,passive_aggressive,main upset hoon,medium,phone se bahar bhi duniya hai abhi
Aaj bhi laptop ka hi scene hai beta,anger,laptop ki wajah se gussa hai,high,aaj bhi laptop ka hi scene hai beta
gaming ko side mein rakho thodi der,care,gaming ke saath balance rakho,low,gaming ko side mein rakho thodi der
Mujhe khaana ka update nahi chahiye abhi,love,main tumhari care karti hoon,low,mujhe khaana ka update nahi chahiye abhi
Pura din shopping hi chalega kya yaar,warning,shopping control karo,medium,pura din shopping hi chalega kya yaar
Aaj bhi tiffin ka hi scene hai yaar,emotional_blackmail,mujhe ignore mat karo,high,aaj bhi tiffin ka hi scene hai yaar
college se bahar bhi duniya hai yaar,care,college ke saath balance rakho,low,college se bahar bhi duniya hai yaar
kitchen se bahar bhi duniya hai yaar,sarcasm,tum kitchen zyada use kar rahe ho,low,kitchen se bahar bhi duniya hai yaar
WiFi ko thoda control karo na,warning,WiFi control karo,medium,wifi ko thoda control karo na
Pura din kitchen hi chalega kya abhi,warning,kitchen control karo,high,pura din kitchen hi chalega kya abhi
Pura din padhai hi chalega kya yaar,warning,padhai control karo,high,pura din padhai hi chalega kya yaar
college pe hi future depend karega kya yaar,passive_aggressive,main upset hoon,low,college pe hi future depend karega kya yaar
Mujhe room ka update nahi chahiye abhi,anger,room ki wajah se gussa hai,high,mujhe room ka update nahi chahiye abhi
Mujhe reels ka update nahi chahiye seriously,warning,reels control karo,medium,mujhe reels ka update nahi chahiye seriously
kitchen se bahar bhi duniya hai beta,warning,kitchen control karo,medium,kitchen se bahar bhi duniya hai beta
TV ko thoda control karo abhi,passive_aggressive,main upset hoon,low,tv ko thoda control karo abhi
charger ko side mein rakho thodi der na,love,main tumhari care karti hoon,low,charger ko side mein rakho thodi der na
laptop ko thoda control karo na,disappointment,better karo,low,laptop ko thoda control karo na
Bas attendance mein hi busy rehna seriously,disappointment,better karo,medium,bas attendance mein hi busy rehna seriously
laptop ko side mein rakho thodi der,disappointment,better karo,medium,laptop ko side mein rakho thodi der
WiFi se bahar bhi duniya hai yaar,sarcasm,tum WiFi zyada use kar rahe ho,low,wifi se bahar bhi duniya hai yaar
padhai ko side mein rakho thodi der,anger,padhai ki wajah se gussa hai,high,padhai ko side mein rakho thodi der
padhai se bahar bhi duniya hai,warning,padhai control karo,medium,padhai se bahar bhi duniya hai
WiFi ko thoda control karo seriously,love,main tumhari care karti hoon,low,wifi ko thoda control karo seriously
college pe hi future depend karega kya,disappointment,better karo,low,college pe hi future depend karega kya
sleep pe hi future depend karega kya na,anger,sleep ki wajah se gussa hai,rip,sleep pe hi future depend karega kya na
attendance pe hi future depend karega kya na,emotional_blackmail,mujhe ignore mat karo,high,attendance pe hi future depend karega kya na
Aaj bhi TV ka hi scene hai please,disappointment,better karo,low,aaj bhi tv ka hi scene hai please
Bas room mein hi busy rehna yaar,anger,room ki wajah se gussa hai,high,bas room mein hi busy rehna yaar
khaana ko thoda control karo seriously,emotional_blackmail,mujhe ignore mat karo,high,khaana ko thoda control karo seriously
Pura din shopping hi chalega kya na,disappointment,better karo,medium,pura din shopping hi chalega kya na
Aaj bhi charger ka hi scene hai yaar,love,main tumhari care karti hoon,low,aaj bhi charger ka hi scene hai yaar
